permit_number,parcel_identifier,source_system,issuing_agency,improvement_status,permit_issue_date,days_open,contractor_name,contractor_phone,contractor_license,bbb_rating,address_street,address_zip,latitude,longitude,source_url
BC-24-0426,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0427,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0428,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0429,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0430,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0431,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0432,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0433,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0434,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0435,162529200400010020,osceola_appraiser,City of Kissimmee,open,2024-11-26,650,Marlyn  Bryant,,,,1901 ISLAND CIR,34741,28.30985082472523,-81.4212123061388,https://www.property-appraiser.org/data/
BC-24-0438,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-01,645,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0441,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0442,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0443,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0444,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0445,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0446,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0447,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0448,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0449,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0450,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0451,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0452,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0453,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0454,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0455,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0456,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
BC-24-0457,14252900U000430000,osceola_appraiser,City of Kissimmee,open,2024-12-05,641,MATTHEW  ANGIULLI,,,,1317 BOULDER DR,34744,28.30893346797982,-81.39038508369266,https://www.property-appraiser.org/data/
P24-008942,162630547300010380,osceola_appraiser,Osceola County,open,2024-12-06,640,,,,,2800 OLD CANOE CREEK,34772,28.20895057922243,-81.30333081358111,https://www.property-appraiser.org/data/
P24-007390,182632259900013440,osceola_appraiser,Osceola County,open,2024-12-11,635,,,,,2345 Bronco,34771,28.235541031740013,-81.1502903402368,https://www.property-appraiser.org/data/
A24-010352,122728473200010050,osceola_appraiser,Osceola County,open,2024-12-12,634,,,,,4680 MARIGOLD,34758,28.146135256827257,-81.47173506739487,https://www.property-appraiser.org/data/
BC-24-0463,14252900U001540000,osceola_appraiser,City of Kissimmee,open,2024-12-13,633,KEVIN  DAUS,,,,1485 MILL SLOUGH RD,34744,28.31649615273675,-81.38380408310906,https://www.property-appraiser.org/data/
BC-24-0466,18252900U000440000,osceola_appraiser,City of Kissimmee,open,2024-12-20,626,Jose  Morales,,,,4135 W VINE ST,34741,28.304974576807332,-81.44792522601416,https://www.property-appraiser.org/data/
BC-24-0470,182530000000520000,osceola_appraiser,City of Kissimmee,open,2024-12-30,616,Jose  Morales,,,,2275 FORTUNE RD,34744,28.305493613406004,-81.35143214466922,https://www.property-appraiser.org/data/
BC-25-0004,202529156300010020,osceola_appraiser,City of Kissimmee,open,2025-01-07,608,Daisy  Leach,,,,800 ARMSTRONG BLVD,34741,28.298976434622112,-81.44161382118672,https://www.property-appraiser.org/data/
BC-25-0005,292529515000010160,osceola_appraiser,City of Kissimmee,open,2025-01-07,608,JOSE  COSTA,,,,1006 S THACKER AVE,34741,28.28178541873774,-81.4247726499993,https://www.property-appraiser.org/data/
A25-000067,073132000000400000,osceola_appraiser,Osceola County,open,2025-01-09,606,,,,,3201 STATE RD 60,34972,27.796713898091877,-81.15593889889061,https://www.property-appraiser.org/data/
A25-000123,2526286184000L0011,osceola_appraiser,Osceola County,open,2025-01-10,605,,,,,1818 POINCIANA,34758,28.248182878905236,-81.49009474877515,https://www.property-appraiser.org/data/
BC-25-0007,152529105000TL0035,osceola_appraiser,City of Kissimmee,open,2025-01-10,605,DARRYL  CULBRETH,,,,1514 BRACK ST,34744,28.306153299475334,-81.40238380401527,https://www.property-appraiser.org/data/
BC-25-0011,182529158200010030,osceola_appraiser,City of Kissimmee,open,2025-01-20,595,DONALD  STORM,,,,4313 W VINE ST,34746,28.304584753916842,-81.45578400535477,https://www.property-appraiser.org/data/
P24-008591,202531425700011820,osceola_appraiser,Osceola County,open,2025-01-21,594,,,,,5178 APPENINE EAST,34771,28.303189324216277,-81.23292267770698,https://www.property-appraiser.org/data/
A25-000566,2526286100000K0010,osceola_appraiser,Osceola County,open,2025-01-24,591,,,,,3450 MARIGOLD,34758,28.18767568319723,-81.5001066803553,https://www.property-appraiser.org/data/
P24-012597,022730495000010470,osceola_appraiser,Osceola County,open,2025-01-29,586,,,,,4145 LIPPMAN,34772,28.168314123796296,-81.27925121597306,https://www.property-appraiser.org/data/
BC-25-0027,2025292070000A0100,osceola_appraiser,City of Kissimmee,open,2025-02-12,572,Pablo  Segarra,,,,3518 W VINE ST,34741,28.303981054395816,-81.43910622286981,https://www.property-appraiser.org/data/
BC-25-0039,212529167000090060,osceola_appraiser,City of Kissimmee,open,2025-02-19,565,,,,,1216 W VINE ST,34741,28.304172167496336,-81.4167223610771,https://www.property-appraiser.org/data/
A25-001740,112728400300010010,osceola_appraiser,Osceola County,open,2025-02-25,559,,,,,281 STONES THROW,34758,28.149699568890185,-81.47420330844525,https://www.property-appraiser.org/data/
A25-001749,112728400300010010,osceola_appraiser,Osceola County,open,2025-02-25,559,,,,,271 STONES THROW,34758,28.149699568890185,-81.47420330844525,https://www.property-appraiser.org/data/
A25-001756,112728400300010010,osceola_appraiser,Osceola County,open,2025-02-25,559,,,,,286 STONES THROW,34758,28.149699568890185,-81.47420330844525,https://www.property-appraiser.org/data/
A25-001762,112728400300010010,osceola_appraiser,Osceola County,open,2025-02-25,559,,,,,291 STONES THROW,34758,28.149699568890185,-81.47420330844525,https://www.property-appraiser.org/data/
BC-25-0059,222529217000200015,osceola_appraiser,City of Kissimmee,open,2025-02-25,559,KENNY  MELLICK,,,,312 BROADWAY,34741,28.29431058300211,-81.40471326989393,https://www.property-appraiser.org/data/
A25-001727,182530265800012300,osceola_appraiser,Osceola County,open,2025-02-26,558,,,,,1421 SIMPSON,34744,28.30561302141652,-81.34930723204107,https://www.property-appraiser.org/data/
BC-25-0068,212529180900010110,osceola_appraiser,City of Kissimmee,open,2025-03-05,551,Edward  Petrow III,,,,710 OAK COMMONS BLVD,34741,28.301936560564915,-81.41108524933485,https://www.property-appraiser.org/data/
BC-25-0078,212529223100010010,osceola_appraiser,City of Kissimmee,open,2025-03-14,542,VLADIMIR  ENCIO,,,,711 N THACKER AVE,34741,28.29814170080817,-81.42372811175748,https://www.property-appraiser.org/data/
BR-25-0474,282529180000020150,osceola_appraiser,City of Kissimmee,open,2025-03-17,539,,,,,1707 SUNNY ST,34741,28.28454748714833,-81.42180027846366,https://www.property-appraiser.org/data/
BC-25-0080,212529235600010C10,osceola_appraiser,City of Kissimmee,open,2025-03-18,538,DARRELL  LEWIS,,,,"1400 W OAK ST #H",34741,28.30011622369094,-81.41781480103865,https://www.property-appraiser.org/data/
BC-25-0081,192529156200010240,osceola_appraiser,City of Kissimmee,open,2025-03-18,538,JUAN  JARAMILLO,,,,4024 W VINE ST,34741,28.303692753283578,-81.44405497378419,https://www.property-appraiser.org/data/
BR-25-0513,252528164800011520,osceola_appraiser,City of Kissimmee,open,2025-03-25,531,,,,,4536 PHILADELPHIA CIR,34746,28.276499422818027,-81.46282714546889,https://www.property-appraiser.org/data/
BC-25-0086,22252900U000150000,osceola_appraiser,City of Kissimmee,open,2025-03-27,529,,,,,1040 KEVSTIN DR,34744,28.30252192929484,-81.39487813280299,https://www.property-appraiser.org/data/
BC-25-0091,152529158400010010,osceola_appraiser,City of Kissimmee,open,2025-04-02,523,,,,,1904 MICHIGAN AVE,34744,28.3085491127499,-81.39203664273236,https://www.property-appraiser.org/data/
A25-002788,06252729510001COMM,osceola_appraiser,Osceola County,open,2025-04-04,521,,,,,3200 LEGACY,34747,28.340705453907738,-81.644922814235,https://www.property-appraiser.org/data/
A25-002903,022528372200010020,osceola_appraiser,Osceola County,open,2025-04-07,518,,,,,5151 KYNGS HEATH,34746,28.336031199370698,-81.48896870134868,https://www.property-appraiser.org/data/
BC-25-0094,14252900U001820000,osceola_appraiser,City of Kissimmee,open,2025-04-07,518,OTNIEL   ALVAREZ,,,,1525 MILL SLOUGH RD,34744,28.316184763060022,-81.38259520604636,https://www.property-appraiser.org/data/
BC-25-0097,212529192000CC0020,osceola_appraiser,City of Kissimmee,open,2025-04-09,516,Adrian  Costache Costache,,,,121 S JOHN YOUNG PKWY,34741,28.2901536338208,-81.41565109664498,https://www.property-appraiser.org/data/
A25-003207,172530361700010G10,osceola_appraiser,Osceola County,open,2025-04-15,510,,,,,2801 KISSIMMEE BAY,34744,28.30798713547871,-81.32781225539534,https://www.property-appraiser.org/data/
BC-25-0100,152529105000BL0040,osceola_appraiser,City of Kissimmee,open,2025-04-15,510,Tatiana  Myers,,,,400 E COLUMBIA AVE,34744,28.307762239016693,-81.40063264789615,https://www.property-appraiser.org/data/
MSR-25-0147,112529171300010970,osceola_appraiser,City of Kissimmee,open,2025-04-15,510,,,,,1419 ORCHID LN,34744,28.322370432622613,-81.38615748379597,https://www.property-appraiser.org/data/
BC-25-0102,30252900U000120000,osceola_appraiser,City of Kissimmee,open,2025-04-19,506,ULRICK  ALFRED,,,,4010 4TH ST,34741,28.289248283575336,-81.44379066361152,https://www.property-appraiser.org/data/
BC-25-0104,17252900U001150000,osceola_appraiser,City of Kissimmee,open,2025-04-21,504,Ken  Durden,,,,3251 W VINE ST,34741,28.30494049167319,-81.43693483562438,https://www.property-appraiser.org/data/
P25-001747,322531313000010140,osceola_appraiser,Osceola County,open,2025-04-28,497,,,,,1210 HACKNEY,34771,28.27499596508397,-81.23473854433551,https://www.property-appraiser.org/data/
BC-25-0119,22252900U000150000,osceola_appraiser,City of Kissimmee,open,2025-05-06,489,Rick R Lundberg,,,,1040 KEVSTIN DR,34744,28.30252192929484,-81.39487813280299,https://www.property-appraiser.org/data/
BC-25-0120,022529202400010020,osceola_appraiser,City of Kissimmee,open,2025-05-06,489,SANTIAGO  LOPEZ,,,,3075 MICHIGAN AVE,34744,28.338863478997315,-81.38842971694494,https://www.property-appraiser.org/data/
A25-004095,302629472200010020,osceola_appraiser,Osceola County,open,2025-05-13,482,,,,,3310 PLEASANT HILL,34746,28.197904425819416,-81.44052111583511,https://www.property-appraiser.org/data/
BC-25-0134,282529136600010010,osceola_appraiser,City of Kissimmee,open,2025-05-13,482,Yoandy  Flores Cruz,,,,1216 PATRICK ST,34741,28.289584715590287,-81.41684458571784,https://www.property-appraiser.org/data/
BC-25-0136,2125291920000Z0020,osceola_appraiser,City of Kissimmee,open,2025-05-14,481,Sergey V Orlov,,,,920 EMMETT ST,34741,28.291419608236772,-81.4140223297893,https://www.property-appraiser.org/data/
A25-004065,06252729510001COMM,osceola_appraiser,Osceola County,open,2025-05-19,476,,,,,3200 LEGACY,34747,28.340705453907738,-81.644922814235,https://www.property-appraiser.org/data/
BC-25-0138,2525281517000100A0,osceola_appraiser,City of Kissimmee,open,2025-05-19,476,KEVIN  DAUS,,,,210 S BASS RD,34746,28.288487502285403,-81.45947932308123,https://www.property-appraiser.org/data/
BC-25-0142,242529000000200000,osceola_appraiser,City of Kissimmee,open,2025-05-22,473,GREGORY  GRUDOVICH,,,,2080 FORTUNE RD,34744,28.30326449847655,-81.35965455687464,https://www.property-appraiser.org/data/
A25-004507,2526286180000E0012,osceola_appraiser,Osceola County,open,2025-05-28,467,,,,,1785 AVENUE A,34758,28.25312710445745,-81.49273305314681,https://www.property-appraiser.org/data/
A25-003773,042527465600010070,osceola_appraiser,Osceola County,open,2025-05-29,466,,,,,3233 ROLLING OAKS,34747,28.344589642717917,-81.6114896711772,https://www.property-appraiser.org/data/
BC-25-0152,212529142000010110,osceola_appraiser,City of Kissimmee,open,2025-05-30,465,Victor V Velozo,,,,1412 W VINE ST,34741,28.30409380682648,-81.41829210805311,https://www.property-appraiser.org/data/
BC-25-0156,2125291920000J0040,osceola_appraiser,City of Kissimmee,open,2025-06-02,462,,,,,18 S ORLANDO AVE,34741,28.290990253556846,-81.40916887874552,https://www.property-appraiser.org/data/
BC-25-0158,152529205000120015,osceola_appraiser,City of Kissimmee,open,2025-06-03,461,ROMMEL  FONTANA,,,,1420 ROSS AVE,34744,28.306270493873186,-81.39873799232133,https://www.property-appraiser.org/data/
BC-25-0164,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-05,459,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0167,192529154300010010,osceola_appraiser,City of Kissimmee,open,2025-06-05,459,Cody  Hastings,,,,3834 W VINE ST,34741,28.303982709553875,-81.4408968500814,https://www.property-appraiser.org/data/
BR-25-0897,352528161100010850,osceola_appraiser,City of Kissimmee,open,2025-06-05,459,Marcos Jose  Esteves Cavalcanti Filho,,,,4818 WORCHESTER DR,34746,28.26620432403351,-81.47625797331628,https://www.property-appraiser.org/data/
A25-004934,022527479500010010,osceola_appraiser,Osceola County,open,2025-06-11,453,,,,,2950 REEDY CREEK,34747,28.334487615481272,-81.58409338212695,https://www.property-appraiser.org/data/
A25-004962,022527479500010010,osceola_appraiser,Osceola County,open,2025-06-11,453,,,,,2960 Reedy Creek,34747,28.334487615481272,-81.58409338212695,https://www.property-appraiser.org/data/
A25-004963,022527479500010010,osceola_appraiser,Osceola County,open,2025-06-11,453,,,,,3000 REEDY CREEK,34747,28.334487615481272,-81.58409338212695,https://www.property-appraiser.org/data/
A25-004965,022527479500010010,osceola_appraiser,Osceola County,open,2025-06-11,453,,,,,2970 Reedy Creek,34747,28.334487615481272,-81.58409338212695,https://www.property-appraiser.org/data/
A25-004966,022527479500010010,osceola_appraiser,Osceola County,open,2025-06-11,453,,,,,2980 Reedy Creek,34747,28.334487615481272,-81.58409338212695,https://www.property-appraiser.org/data/
BC-25-0188,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0189,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0190,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0191,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0192,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0193,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0194,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0195,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0196,182529000000150000,osceola_appraiser,City of Kissimmee,open,2025-06-13,451,Francisco  Dalmau,,,,4005 BISMARK DR,34741,28.316994615046614,-81.44300622937557,https://www.property-appraiser.org/data/
BC-25-0198,19252900U002010000,osceola_appraiser,City of Kissimmee,open,2025-06-15,449,Mconeill  Rosado,,,,4156 W VINE ST,34741,28.30294698333489,-81.44768922018169,https://www.property-appraiser.org/data/
BC-25-0203,09252900U001700000,osceola_appraiser,City of Kissimmee,open,2025-06-20,444,Robert P Kornahrens,,,,2704 N JOHN YOUNG PKWY,34741,28.32855600194162,-81.41717261842696,https://www.property-appraiser.org/data/
MSR-25-0269,112529235700010870,osceola_appraiser,City of Kissimmee,open,2025-06-20,444,,,,,2904 OAK RUN BLVD,34744,28.33072160327977,-81.37985148593327,https://www.property-appraiser.org/data/
A25-005253,032529457700010040,osceola_appraiser,Osceola County,open,2025-06-23,441,,,,,3021 JOHN YOUNG,34741,28.338032584772996,-81.41890905606999,https://www.property-appraiser.org/data/
MSR-25-0274,082529103200010450,osceola_appraiser,City of Kissimmee,open,2025-06-24,440,,,,,2701 SWOOP CIR,34741,28.33197198427418,-81.42703638323884,https://www.property-appraiser.org/data/
P25-005000,202629288200011770,osceola_appraiser,Osceola County,open,2025-06-24,440,,,,,3230 HOPEWELL,34746,28.20252223674917,-81.43349692634588,https://www.property-appraiser.org/data/
P25-007012,292629324600010280,osceola_appraiser,Osceola County,open,2025-06-24,440,,,,,800 WINDLASS,34746,28.183847169543085,-81.41042014724103,https://www.property-appraiser.org/data/
A25-005532,252628340300010090,osceola_appraiser,Osceola County,open,2025-06-26,438,,,,,3326 SUMMERDALE,34746,28.19804466228581,-81.4575740432076,https://www.property-appraiser.org/data/
BC-25-0213,212529180900010090,osceola_appraiser,City of Kissimmee,open,2025-06-26,438,Daniel  Levesque,,,,604 OAK COMMONS BLVD,34741,28.301565025638244,-81.41024864510943,https://www.property-appraiser.org/data/
BR-25-0997,112529235700010870,osceola_appraiser,City of Kissimmee,open,2025-06-26,438,Hernando  Castano,,,,2904 OAK RUN BLVD,34744,28.33072160327977,-81.37985148593327,https://www.property-appraiser.org/data/
A25-005796,012628000002200000,osceola_appraiser,Osceola County,open,2025-07-03,431,,,,,4635 WHISPERING PINES,34746,28.253876060902034,-81.47201204397668,https://www.property-appraiser.org/data/
BC-25-0221,182530000000520000,osceola_appraiser,City of Kissimmee,open,2025-07-03,431,,,,,2275 FORTUNE RD,34744,28.305493613406004,-81.35143214466922,https://www.property-appraiser.org/data/
BC-25-0227,292529197000010090,osceola_appraiser,City of Kissimmee,open,2025-07-10,424,,,,,3008 PATRICK ST,34741,28.288497825462372,-81.43345483073736,https://www.property-appraiser.org/data/
P24-008831,212531497800011060,osceola_appraiser,Osceola County,open,2025-07-14,420,,,,,107 POLERMO,34771,28.29316959833057,-81.22078129347145,https://www.property-appraiser.org/data/
A25-006142,052531426000010041,osceola_appraiser,Osceola County,open,2025-07-16,418,,,,,5160 BOGGY CREEK,34771,28.347611425341828,-81.23408983336543,https://www.property-appraiser.org/data/
P25-006827,012629364800010490,osceola_appraiser,Osceola County,open,2025-07-16,418,,,,,1556 BITTEROOT,34744,28.261209730976294,-81.37166834347151,https://www.property-appraiser.org/data/
A25-005978,302530496000010075,osceola_appraiser,Osceola County,open,2025-07-21,413,,,,,2411 IRLO BRONSON MEM E,34744,28.28182322362184,-81.34508333497357,https://www.property-appraiser.org/data/
P25-007665,142628308400010730,osceola_appraiser,Osceola County,open,2025-07-24,410,,,,,2841 MOONSTONE,34758,28.216848327987638,-81.47566717925439,https://www.property-appraiser.org/data/
A25-006368,042528000001150000,osceola_appraiser,Osceola County,open,2025-07-25,409,,,,,5881 IRLO BRONSON MEM,34746,28.33346536396939,-81.51915800632635,https://www.property-appraiser.org/data/
A25-006296,352527489600010C10,osceola_appraiser,Osceola County,open,2025-07-29,405,,,,,7456 EXCITEMENT,34747,28.260948986371677,-81.58674567670022,https://www.property-appraiser.org/data/
A25-006686,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,270 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006688,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,280 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006689,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,290 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006691,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,300 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006694,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,295 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006696,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,285 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006697,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,265 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006700,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,250 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006701,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-01,402,,,,,260 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
A25-006699,012529000000330000,osceola_appraiser,Osceola County,open,2025-08-04,399,,,,,255 BUEN VECINO,34743,28.341137649580126,-81.36681222286917,https://www.property-appraiser.org/data/
P25-007007,052531332600010450,osceola_appraiser,Osceola County,open,2025-08-06,397,,,,,5221 HAMMOCK POINTE,34771,28.33518540778422,-81.2340319388299,https://www.property-appraiser.org/data/
A25-006673,322530000001700000,osceola_appraiser,Osceola County,open,2025-08-18,385,,,,,1535 SIMMONS,34744,28.263565033893197,-81.32944241199804,https://www.property-appraiser.org/data/
P25-001818,292629294300011240,osceola_appraiser,Osceola County,open,2025-08-18,385,,,,,2561 SHOAL BASS,34746,28.17751454834377,-81.42893452015709,https://www.property-appraiser.org/data/
A25-007250,143033361000170170,osceola_appraiser,Osceola County,open,2025-08-22,381,,,,,1355 CANOE CREEK S,34739,27.876727254093563,-80.9908930179873,https://www.property-appraiser.org/data/
A25-007343,032529457700010020,osceola_appraiser,Osceola County,open,2025-08-25,378,,,,,1310 OSCEOLA W,34741,28.341806262721505,-81.41852117203787,https://www.property-appraiser.org/data/
A25-007032,302629000000110000,osceola_appraiser,Osceola County,open,2025-08-26,377,,,,,3250 PLEASANT HILL,34746,28.200002567599014,-81.4412369449935,https://www.property-appraiser.org/data/
A25-007280,112528321700010030,osceola_appraiser,Osceola County,open,2025-08-27,376,,,,,2880 POINCIANA,34746,28.33144543709732,-81.49022533391147,https://www.property-appraiser.org/data/
A25-007080,0526294510000A0490,osceola_appraiser,Osceola County,open,2025-08-29,374,,,,,3601 ORANGE BLOSSOM,34746,28.25965829061859,-81.44103879235531,https://www.property-appraiser.org/data/
A25-007721,292530333800010040,osceola_appraiser,Osceola County,open,2025-09-04,368,,,,,2515 PARTIN SETTLEMENT,34744,28.27930595352626,-81.34177087251165,https://www.property-appraiser.org/data/
P25-007205,072528278200013660,osceola_appraiser,Osceola County,open,2025-09-04,368,,,,,851 CELEBRATION,34747,28.317446402786036,-81.5455978479661,https://www.property-appraiser.org/data/
